time,seconds_elapsed,z,y,x,z,y,x
1.76967E+18,10.94539014,0.024013913,-0.025024405,-0.026157208,0.000754806,0.000555554,-0.000820967
1.76967E+18,10.95537915,0.021024083,-0.012953955,-0.022167773,1.63114E-05,0.001051706,0.000206677
1.76967E+18,10.96536719,0.019101591,-0.010779314,-0.01707498,-0.00035227,0.001125741,0.000231178
1.76967E+18,10.9753562,0.008050035,-0.017967107,-0.023467823,0.001257765,0.001699096,0.000504598
1.76967E+18,10.98534424,0.017954174,-0.01472944,-0.023550168,-0.000488203,0.001943042,0.000149865
1.76967E+18,10.99533301,0.034429508,-0.016193375,-0.021148002,0.000847396,0.00185885,-0.000862733
1.76967E+18,11.00532104,0.023662615,-0.022417218,-0.036905324,-0.001183797,0.000688125,-8.72209E-05
1.76967E+18,11.0153103,0.025929976,-0.01925269,-0.024412338,-0.000317084,0.003499807,-0.000251887
1.76967E+18,11.02529834,0.025231472,-0.004370616,-0.015193843,-0.000792991,0.004011933,0.000817372
1.76967E+18,11.03528687,0.00029343,-0.015540172,-0.023029943,0.000663317,0.003125016,0.001679471
1.76967E+18,11.04527612,0.017977555,-0.011363836,-0.03386676,0.000541344,-0.000136823,-0.002148024
1.76967E+18,11.05526416,0.030505028,-0.017285189,-0.037838513,-0.000947218,-0.003964229,-0.002582322
1.76967E+18,11.06525317,0.061292381,-0.013016718,-0.038275005,-0.000105926,-0.000733814,-3.04806E-05
1.76967E+18,11.07524097,0.013287352,-0.012618366,-0.02129384,0.00072659,0.00354843,0.000157611
1.76967E+18,11.08523022,-0.01306348,-0.005600743,-0.005314181,-0.000234012,-0.003218396,-0.001579836
1.76967E+18,11.09521802,0.062181439,-0.021457652,-0.041729164,-0.00038374,-0.000780072,-0.000714773
1.76967E+18,11.10520728,0.006215806,-0.010755714,-0.023723917,-0.000412768,0.000666824,-0.001310788
1.76967E+18,11.11519531,0.011423896,-0.014743907,-0.019161797,-0.00078554,-0.005194134,2.74123E-05
1.76967E+18,11.12518408,0.023039515,-0.018316505,-0.04180654,0.000278659,-0.005560052,0.000437805
1.76967E+18,11.13517212,0.011774609,-0.016361206,-0.03334522,-0.00025576,-0.002217416,-0.000262802
1.76967E+18,11.14516113,0.007288988,-0.003030965,-0.023278219,0.000257431,0.001401287,0.000221893
1.76967E+18,11.1551499,0.013882395,-0.00306611,-0.024121026,-0.000462985,-9.885E-05,0.001252226
1.76967E+18,11.16513794,0.023037177,-0.013064649,-0.031150341,0.000256601,0.00235978,0.001825072
1.76967E+18,11.1751272,0.028750294,-0.019574761,-0.022432197,-9.31168E-05,0.001427209,0.000734412
1.76967E+18,11.18511523,0.030865094,-0.007731544,-0.028475715,0.000507426,0.000386712,0.00303778
1.76967E+18,11.19510425,0.031034605,-0.014719138,-0.028373569,0.000630253,0.000214282,0.000182193
1.76967E+18,11.20509204,0.018792379,-0.005348594,-0.030819647,-0.001014782,0.001053711,0.003063733
1.76967E+18,11.21508105,0.01790449,-0.008907602,-0.030060573,-0.001129093,-0.000451381,-0.000442992
1.76967E+18,11.22506909,0.048407765,-0.022739217,-0.031998701,0.000751365,-0.001443142,-0.001864588
1.76967E+18,11.23505835,0.034630584,-0.0235197,-0.039602454,0.000824302,-0.000737396,0.001382993
1.76967E+18,11.24504712,0.010370587,-0.020255218,-0.027670316,0.001494353,-0.003701227,3.06403E-05
1.76967E+18,11.25503491,0.005843465,-0.017564371,-0.016490824,0.001002908,-0.003900206,0.000860056
1.76967E+18,11.26502417,0.01644377,-0.008922946,-0.034051396,0.001466298,-0.003158515,0.00211041
1.76967E+18,11.27501221,0.01494038,-0.014287395,-0.01894019,-0.00082229,-0.000288466,0.00058182
1.76967E+18,11.28500098,0.016879823,-0.009526903,-0.022762013,0.000457891,0.000291305,0.000350657
1.76967E+18,11.29498926,0.016582886,-0.010190335,-0.021587782,0.000198831,0.000832286,0.000875234
1.76967E+18,11.30497827,0.021234511,-0.019702772,-0.01809351,-2.91351E-05,-0.000314205,0.000243532
1.76967E+18,11.31496606,0.033371524,-0.011433687,-0.024755817,0.001099595,0.001326056,0.001124076
1.76967E+18,11.32495508,0.043116673,-0.018598098,-0.027223961,-0.000189375,0.000658934,0.000472134
1.76967E+18,11.33494312,0.022478958,-0.004356369,-0.015832579,-0.001243226,-0.00114358,0.000546844
1.76967E+18,11.34493213,0.006460136,-0.017375498,-0.010069559,0.000551212,-0.001004563,-0.000763964
1.76967E+18,11.35492139,0.035329672,-0.011546134,-0.020188948,0.000594572,0.000467965,0.001497678
1.76967E+18,11.36490894,0.005585107,-0.015870354,-0.029862273,0.001920826,0.003380931,0.001233493
1.76967E+18,11.37489795,-0.010997195,-0.011248466,-0.021550518,-0.001398895,0.000956855,0.001797823
1.76967E+18,11.38488623,0.022832594,-0.013307956,-0.02575893,0.00030393,0.001662859,-0.000467728
1.76967E+18,11.39487524,0.035425534,-0.016152459,-0.024501842,-0.002041141,0.00221705,0.000611531
1.76967E+18,11.40486328,0.009846856,-0.014608444,-0.033806335,-7.49289E-05,0.000830608,-0.000340283
1.76967E+18,11.41485205,0.035731823,-0.007546543,-0.015253829,-9.8175E-05,-0.000946907,2.94435E-05
1.76967E+18,11.42484009,0.033801147,-0.012509645,-0.028608547,0.001579616,0.003300302,0.000336772
1.76967E+18,11.4348291,0.017663082,-0.016118849,-0.028566681,-0.000552076,0.001408321,-0.000247488
1.76967E+18,11.44481738,0.023217209,-0.021161446,-0.03196458,1.43788E-05,0.001757994,-0.001497842
1.76967E+18,11.45480615,0.011105916,-0.023388036,-0.024683556,0.000669849,0.000928584,0.000730728
1.76967E+18,11.46479517,0.016063831,-0.004439663,-0.032175446,-0.000797553,0.001590913,0.000161078
1.76967E+18,11.4747832,0.023854338,-0.013624255,-0.029893472,0.000268239,0.000157541,0.002254015
1.76967E+18,11.48477197,0.024295068,-0.005469444,-0.024927813,0.000323633,-0.001298143,0.000487541
1.76967E+18,11.49476001,0.02443243,-0.012684417,-0.024767581,0.00157649,-0.001860336,0.00125183
1.76967E+18,11.50474927,0.022921441,-0.017989026,-0.029737259,0.000283792,-0.003272344,0.000571925
1.76967E+18,11.5147373,0.017823826,-0.011347323,-0.029290319,-4.33763E-06,-0.00145262,0.001029727
1.76967E+18,11.52472607,0.022463176,-0.015770328,-0.024711905,0.000324829,0.00030267,0.00180524
1.76967E+18,11.53471387,0.011994389,-0.003682853,-0.022434315,0.000899749,0.000156369,-0.00027278
1.76967E+18,11.54470313,0.019183424,-0.014425123,-0.033276904,0.001237971,-0.00046974,-0.000487697
1.76967E+18,11.55469116,0.022930794,-0.021323066,-0.026202436,0.000599311,0.000496109,0.000895256
1.76967E+18,11.56468042,0.025632454,-0.015572759,-0.027832229,0.000777211,0.000476934,0.001269696
1.76967E+18,11.57466919,0.026249709,-0.015020167,-0.028591596,3.49953E-05,0.001681295,-0.000496525
1.76967E+18,11.58465698,0.011146248,-0.014714754,-0.023562077,0.000520223,0.000116688,0.000696838
1.76967E+18,11.59464624,0.010415011,-0.013885902,-0.022858021,0.001854413,0.000550963,0.000898708
1.76967E+18,11.60463428,0.016405191,-0.014459172,-0.025339243,0.001141751,0.000862553,0.00129978
1.76967E+18,11.61462305,0.01103928,-0.010476459,-0.007538287,0.000214185,0.002548434,-5.67152E-06
1.76967E+18,11.62461108,0.023328269,-0.010788301,-0.026532618,0.000231762,-0.000247087,0.001600481
1.76967E+18,11.6346001,0.021533786,-0.0179834,-0.019943229,8.12612E-05,0.000686531,0.000806268
1.76967E+18,11.64458813,0.011963994,-0.02467055,-0.029831586,0.001217099,-0.001058105,0.002209487
1.76967E+18,11.6545769,0.010764555,-0.017114289,-0.033053982,-0.000205853,-0.000295117,-0.000235669
1.76967E+18,11.66456616,0.034099838,-0.02342771,-0.019383915,0.000680979,-0.001255719,1.9195E-05
1.76967E+18,11.6745542,0.012850714,-0.023290567,-0.02523118,-0.000101296,-1.1482E-06,0.001117227
1.76967E+18,11.68454346,0.009862053,-0.01393997,-0.027940512,0.0008388,-0.001301037,-0.000212756
1.76967E+18,11.69453125,0.014798925,-0.013694106,-0.027399025,-6.26096E-05,0.000154436,0.000746413
1.76967E+18,11.70452002,0.01899287,-0.005931874,-0.018093802,0.000823957,0.001390676,0.000174366
1.76967E+18,11.71450806,0.026921909,-0.01424268,-0.036764235,-0.001077611,-0.000146479,-0.000503558
1.76967E+18,11.72449731,0.02376666,-0.011475699,-0.02934541,-0.000588389,-0.000503343,0.000327881
1.76967E+18,11.73448657,0.020617256,-0.009220394,-0.028347193,0.001029495,-0.001262156,0.000121769
1.76967E+18,11.74447583,0.014030279,-0.011603271,-0.030313817,-0.000916477,-0.000298358,-0.001101954
1.76967E+18,11.7544646,0.024942718,-0.019723011,-0.028844694,0.000998546,-0.000782714,-0.001421115
1.76967E+18,11.76445239,0.028062896,-0.008998057,-0.028818756,0.000322103,-0.00047432,-0.000245596
1.76967E+18,11.77444165,0.008595979,-0.002283727,-0.037084041,0.001460345,-0.001231992,-8.05308E-05
1.76967E+18,11.78442969,0.016069676,-0.007555603,-0.031495062,-0.000122904,-0.00226876,0.00106303
1.76967E+18,11.7944187,0.013954876,-0.015397914,-0.038036008,-0.000453986,-0.000516828,-0.001149419
1.76967E+18,11.80440649,0.03041092,-0.009234642,-0.031777094,-0.000284343,-0.000521621,-0.000225835
1.76967E+18,11.81439551,0.025762802,-0.013123028,-0.037390842,-0.000367458,-0.001562479,-0.000232759
1.76967E+18,11.82438354,0.02589958,-0.014300401,-0.028858796,0.000814985,0.000302533,-0.00252068
1.76967E+18,11.8343728,0.001499883,-0.010440145,-0.038573403,-0.000556865,-1.09447E-05,-0.000624523
1.76967E+18,11.84436084,0.023040099,-0.009502938,-0.019762247,-0.001021054,0.000239659,-0.000349419
1.76967E+18,11.85434961,0.026921909,-0.006423165,-0.03084522,0.000354818,-0.001145677,-0.000253871
1.76967E+18,11.86433887,0.015694413,-0.010601108,-0.029237858,-0.00098848,-0.000570967,0.000593813
1.76967E+18,11.87432666,0.024509587,-0.016836715,-0.024538887,-3.83798E-05,-0.001907253,-9.05052E-05
1.76967E+18,11.88431543,0.026889176,-0.011710312,-0.019399259,0.001070294,-0.002355463,-0.001046314
1.76967E+18,11.89430371,0.025817163,-0.005583426,-0.025311844,0.001904876,-0.00227851,0.000824689
1.76967E+18,11.90429272,0.013989947,-0.013822043,-0.040594388,-0.000422727,-0.002370388,-0.000145234
1.76967E+18,11.91428052,0.022517537,-0.027087183,-0.030616453,0.000111074,-0.002002178,0.003108723
